Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":2]))",Chrome 131.0.0.0,,,02-01-2025 21:19:37,02-01-2025 21:19:37,0.384s,PASSED
"selectedColor = getAttribute(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":2]), ""title"")",Chrome 131.0.0.0,,,02-01-2025 21:19:37,02-01-2025 21:19:38,0.365s,PASSED
"selectedSecondOption.put(""color"", selectedColor)",Chrome 131.0.0.0,,,02-01-2025 21:19:38,02-01-2025 21:19:38,0.002s,PASSED
"selectedSize = getAttribute(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":2]), ""innerText"")",Chrome 131.0.0.0,,,02-01-2025 21:19:38,02-01-2025 21:19:38,0.045s,PASSED
"selectedSecondOption.put(""size"", selectedSize)",Chrome 131.0.0.0,,,02-01-2025 21:19:38,02-01-2025 21:19:38,0.002s,PASSED
logInfo(selectedSecondOption.toString()),Chrome 131.0.0.0,,,02-01-2025 21:19:38,02-01-2025 21:19:38,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Add second product to cart,,02-01-2025 21:19:38,02-01-2025 21:19:38,0.218s,PASSED
delay(5),Chrome 131.0.0.0,,,02-01-2025 21:19:38,02-01-2025 21:19:43,5.007s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":2]))",Chrome 131.0.0.0,,,02-01-2025 21:19:43,02-01-2025 21:19:43,0.358s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,,,02-01-2025 21:19:43,02-01-2025 21:19:46,2.500s,PASSED
"common.UtilKeyword.takeScreenShot(""added_second_option"")",Chrome 131.0.0.0,,,02-01-2025 21:19:46,02-01-2025 21:19:46,0.372s,PASSED
"click(findTestObject(""Object Repository/common/icon/cart_icon""))",Chrome 131.0.0.0,Go to cart,,02-01-2025 21:19:46,02-01-2025 21:19:54,7.371s,PASSED
